field_1,id,w,link_id
"0","6784800960","4.0","6784800960"
"1","288416442","3.0","288416442"
"2","9069147600","3.0","9069147600"
"3","4955348347","2.25","4955348347"
"4","288416443","4.0","288416443"
"5","8193711357","7.0","8193711357"
"6","9069147601","4.0","9069147601"
"7","1452354596","5.0","1452354596"
"8","288416444","7.0","288416444"
"9","9069147599","4.0","9069147599"
"10","2879407830","7.0","2879407830"
"11","1452379098","7.0","1452379098"
"12","5832570079","10.0","5832570079"
"13","9069147602","7.0","9069147602"
"14","6784806586","4.0","6784806586"
"15","5573421437","7.0","5573421437"
"16","9069147598","7.0","9069147598"
"17","1452367507","10.0","1452367507"
"18","1108422768","10.0","1108422768"
"19","1452381150","9.5","1452381150"
"20","288416451","6.0","288416451"
"21","1452381159","6.0","1452381159"
"22","1108422826","5.5","1108422826"
"23","1452381151","9.5","1452381151"
"24","9100117632","8.25","9100117632"
"25","1452381153","9.5","1452381153"
"26","1452354612","5.5","1452354612"
"27","9100117641","10.0","9100117641"
"28","288416469","10.0","288416469"
"29","3597705277","8.0","3597705277"
"30","288416470","4.5","288416470"
"31","2690137880","6.35","2690137880"
"32","9100117642","6.25","9100117642"
"33","7823205757","3.5","7823205757"
"34","9100117640","8.5","9100117640"
"35","8193711352","8.0","8193711352"
"36","3597705276","2.5","3597705276"
"37","3597703012","3.5","3597703012"
"38","288416472","3.5","288416472"
"39","2690137883","3.5","2690137883"
"40","3597703008","7.0","3597703008"
"41","4955283750","2.5","4955283750"
"42","4955283751","3.0","4955283751"
"43","4955283745","7.0","4955283745"
"44","4955283752","2.0","4955283752"
"45","1450543212","7.5","1450543212"
"46","288416494","7.5","288416494"
"47","1895404416","10.0","1895404416"
"48","1450544173","7.5","1450544173"
"49","9100117657","5.1","9100117657"
"50","9776946573","7.5","9776946573"
"51","1830092535","5.1","1830092535"
"52","3650783953","11.0","3650783953"
"53","4550854664","10.0","4550854664"
"54","4955283748","8.5","4955283748"
"55","7769513845","3.5","7769513845"
"56","288416501","2.7","288416501"
"57","5453861861","0.30000000000000004","5453861861"
"58","9776946575","2.6","9776946575"
"59","5453861857","2.7","5453861857"
"60","9776946568","4.5","9776946568"
"61","5248768898","4.5","5248768898"
"62","5453861868","0.30000000000000004","5453861868"
"63","5453861858","0.30000000000000004","5453861858"
"64","9776946574","2.6","9776946574"
"65","7214524622","4.5","7214524622"
"66","288416503","3.6","288416503"
"67","4871286879","4.5","4871286879"
"68","5453861850","2.2","5453861850"
"69","288416506","3.5","288416506"
"70","7214630786","4.5","7214630786"
"71","5453853354","4.0","5453853354"
"72","7214631194","4.5","7214631194"
"73","5453861848","2.6","5453861848"
"74","5453861849","0.30000000000000004","5453861849"
"75","5453861844","2.1","5453861844"
"76","9776946597","3.5","9776946597"
"77","9776946580","3.0","9776946580"
"78","7214524618","2.7","7214524618"
"79","9776946598","4.0","9776946598"
"80","288416507","3.6","288416507"
"81","9776946591","4.5","9776946591"
"82","2572147270","4.5","2572147270"
"83","4871251420","2.5","4871251420"
"84","8974420728","2.5","8974420728"
"85","9776946588","3.0","9776946588"
"86","9776946581","2.2","9776946581"
"87","4871251797","3.0","4871251797"
"88","288416508","5.0","288416508"
"89","7214631179","4.5","7214631179"
"90","7214524627","4.5","7214524627"
"91","9776949839","3.0","9776949839"
"92","9176043105","4.5","9176043105"
"93","4871251792","2.1","4871251792"
"94","2572147279","1.5","2572147279"
"95","4871251799","2.5","4871251799"
