C_FID,device_name,longitude,latitude,land_cover,E_FID
3013-284001,凤凰山高架桥(进城)1km+500m处,104.078135,30.712978,"1,2,3",199
3013-284002,凤凰山高架桥(出城)1km+500m处,104.078189,30.712879,"1,2,3",199
3013-284003,凤凰山高架桥(进城)2km+185m处,104.079244,30.719998,"1,2",200
3013-284004,凤凰山高架桥(出城)2km+341m处,104.080035,30.721257,"1,2",200
3013-284005,凤凰山高架桥(进城)3km+190m处,104.084512,30.727529,"1,2,3",225
3013-284007,凤凰山高架桥(进城)6km+886m处,104.093851,30.756997,"1,2,3",225
3013-284008,凤凰山高架桥(出城)6km+953m处,104.094534,30.757243,"1,2,3",225
3013-284009,金芙蓉大道一段(天宝路口至金新路口),104.111223,30.774443,"1,2,3",225
3013-284010,金芙蓉大道一段(金新路口至天宝路口),104.112793,30.77668,"1,2,3",225
3013-285001,神仙树高架路（出城）0km+529m处,104.035105,30.624433,"1,2",176
3013-285002,神仙树高架路（出城）2km+268m处,104.03809,30.614746,"1,2",177
3013-285003,神仙树高架路（进城）3km+507m处,104.046734,30.607196,"1,2",181
3013-285004,神仙树高架路（出城）3km+507m处,104.046751,30.607238,"1,2",181
3013-321000,日月大道二段（腾飞大道路口至文家路口）,103.937755,30.690241, ,207
3013-321008,成彭高速公路(川高速S1)2公里900米(彭州至成都),104.033438,30.798125,1、2,-1
3013-321009,成彭高速公路(川高速S1)2公里900米(彭州至成都),104.033093,30.798363,3、4、5,-1
3013-321010,成彭高速公路(川高速S1)3公里250米(成都至彭州),104.030497,30.800704,"1,2",-1
3013-321011,成彭高速公路(川高速S1)3公里250米(成都至彭州),104.030415,30.800761,"3,4,5",-1
3013-321012,成彭高速公路（川高速S1）6公里700米（成都至彭州）,104.020778,30.810131,"1,2",-1
3013-321013,成彭高速公路（川高速S1）6公里700米（成都至彭州）,104.020811,30.810139,"3,4,5",-1
3013-321014,成彭高速公路（川高速S1）6公里919米（彭州至成都）,104.009391,30.833753,3、4、5,-1
3013-321015,成彭高速公路（川高速S1）6公里919米（彭州至成都）,104.00939,30.833781,"1,2",-1
3013-321016,成彭高速公路(川高速S1)10公里320米(成都至彭州),103.99962,30.859194,1、2,-1
3013-321017,成彭高速公路(川高速S1)10公里320米(成都至彭州),103.999622,30.859106,3、4、5,-1
3013-321018,成彭高速公路（川高速S1）10公里320米（彭州至成都）,103.999351,30.859249,"1,2",-1
3013-321019,成彭高速公路（川高速S1）10公里320米（彭州至成都）,103.999307,30.859168,"3,4,5",-1
3013-321020,成彭高速公路(川高速S1)13公里860米(彭州至成都),103.981425,30.89765,"3,4,5",-1
3013-321021,成彭高速公路(川高速S1)13公里860米(彭州至成都),103.981293,30.89754,"3,4,5",-1
3013-321024,成彭高速公路(川高速S1)16公里165米(彭州至成都),103.978882,30.911645,"1,2",-1
3013-321025,成彭高速公路(川高速S1)16公里165米(彭州至成都),103.978935,30.911425,"3,4,5",-1
3013-321026,成彭高速公路(川高速S1)16公里728米(成都至彭州),103.978837,30.913422,"1,2",-1
3013-321027,成彭高速公路（川高速S1）16公里728米（成都至彭州）,103.978886,30.913217,3、4、5,-1
3013-321030,成彭高速公路(川高速S1)19公里700米(彭州至成都),103.953748,30.95266,"1,2,3",-1
3013-321031,成彭高速公路(川高速S1)20公里400米(成都至彭州),103.956507,30.946624,"1,2,3",-1
3013-329001,成温高架桥（光华北二路路口至贝森北路路口）,103.981596,30.676197,"1,2,3",207
3013-329002,成温高架桥（贝森北路路口至乌衣路路口）,103.983044,30.676318,"1,2,3",207
3013-329003,日月大道二段主道（导航路路口至光华北六路路口）,103.947156,30.685448,"1,2,3,4",207
3013-329004,日月大道二段主道（同诚路路口至文家路路口）,103.951054,30.683309,"1,2,3,4",207
3013-329005,日月大道二段主道（光华北六路路口至光华北三路路口）,103.955128,30.681747,"1,2,3,4",207
3013-329006,日月大道一段主道(翔龙路路口至同诚路路口）,103.965061,30.678862,"1,2,3,4",207
3013-331002,东三环路一段外侧主道（龙潭立交至蜀龙立交）,104.149398,30.710194,"1,2,3,4",135
3013-331004,东三环路二段外侧主道（成南立交至龙潭立交）,104.159658,30.683102,"1,2,3,4",128
3013-331007,东三环路四段内侧主道（十陵立交至成渝立交）,104.151555,30.64142,"1,2,3,4",32
3013-331008,东三环路四段外侧主道（成渝立交至十陵立交）,104.152327,30.64264,"1,2,3,4",32
3013-331024,南三环路五段内侧主道（蓝天立交至川藏立交）,104.016801,30.615578,"1,2,3,4",13
3013-331031,西三环路三段内侧主道（草金立交至苏坡立交）,103.98326,30.664407,"1,2,3,4",93
3013-331033,西三环路四段内侧主道（苏坡立交至羊犀立交）,103.995284,30.687567,"1,2,3,4",95
3013-331040,北三环路一段外侧主道（成彭立交至交大立交）,104.041199,30.725573,"1,2,3,4",192
3013-331043,北三环路三段内侧主道（凤凰立交至川陕立交）,104.089423,30.721759,"1,2,3,4",137
3013-331044,北三环路三段外侧主道（川陕立交至金凤凰立交）,104.094307,30.72169,"1,2,3,4",137
3013-342001,成洛大道高架桥(成洛大道上行匝道口至三环路十陵立交),104.162015,30.649372,"1,2,3,4",220
3013-342002,成洛大道高架桥(三环路十陵立交至成洛大道下行匝道),104.170349,30.648203,"1,2,3,4",220
3013-722001,二环高架路内侧2km+762m处,104.038037,30.630534,12,172
