R_FID,center_x,center_y,s_length,humidity
0,104.043387,30.41892,1000,83.05
1,104.043387,30.481802,1000,79.7
2,104.043387,30.580616,1000,83.3
3,104.043387,30.607566,1000,83.29
4,104.043387,30.643499,1000,83.35
5,104.043387,30.688415,1000,83.12
6,104.043387,30.751297,1000,87.72
7,104.043387,30.859096,1000,96.95
8,104.043387,30.877062,1000,95.6
9,104.043387,30.886046,1000,95.6
10,104.053796,30.356037,1000,85.22
11,104.053796,30.625532,1000,82.82
12,104.053796,30.796213,1000,91.65
13,104.053796,30.948929,1000,91.78
14,104.064203,30.356037,1000,85.91
15,104.064203,30.400953,1000,84.78
16,104.064203,30.41892,1000,84.66
17,104.064203,30.580616,1000,84.09
18,104.064203,30.625532,1000,82.59
19,104.064203,30.715364,1000,85.46
20,104.064203,30.733331,1000,86.84
21,104.074612,30.463835,1000,82.51
22,104.074612,30.580616,1000,84.44
23,104.074612,30.742314,1000,87.62
24,104.074612,30.76028,1000,88.28
25,104.074612,30.769264,1000,89.05
26,104.074612,30.850113,1000,97.41
27,104.074612,30.912995,1000,95.08
28,104.074612,30.957912,1000,93.63
29,104.08502,30.338071,1000,88.55
30,104.08502,30.382987,1000,86.29
31,104.08502,30.39197,1000,86.32
32,104.08502,30.625532,1000,82.19
33,104.08502,30.859096,1000,97.55
34,104.08502,30.948929,1000,94.13
35,104.095428,30.382987,1000,87.34
36,104.095428,30.472818,1000,83.79
37,104.095428,30.490785,1000,82.49
38,104.095428,30.670448,1000,81.25
39,104.095428,30.733331,1000,87.75
40,104.095428,30.796213,1000,91.28
41,104.095428,30.904012,1000,96.7
42,104.095428,30.912995,1000,96.2
43,104.105836,30.365021,1000,88.93
44,104.105836,30.454852,1000,86.74
45,104.105836,30.472818,1000,84.83
46,104.105836,30.598583,1000,83.66
47,104.105836,30.607566,1000,82.8
48,104.105836,30.616549,1000,81.83
49,104.105836,30.652482,1000,79.37
50,104.105836,30.724348,1000,88.01
51,104.105836,30.769264,1000,89.43
52,104.105836,30.81418,1000,93.77
53,104.116244,30.347054,1000,90.8
54,104.116244,30.481802,1000,84.93
55,104.116244,30.643499,1000,80.16
56,104.116244,30.688415,1000,85.18
57,104.116244,30.706381,1000,87.82
58,104.178692,30.616549,1000,84.85
59,104.178692,30.859096,1000,94.82
60,104.1891,30.436886,1000,90.78
61,104.1891,30.499768,1000,85.57
62,104.1891,30.526717,1000,82.91
63,104.1891,30.5896,1000,85.93
64,104.1891,30.652482,1000,85.61
65,104.1891,30.850113,1000,92.91
66,104.1891,30.877062,1000,94.39
67,104.1891,30.939945,1000,95.05
68,104.199508,30.356037,1000,95.52
69,104.199508,30.436886,1000,90.52
70,104.199508,30.481802,1000,87.85
71,104.199508,30.580616,1000,85.31
72,104.199508,30.679432,1000,87.16
73,104.199508,30.724348,1000,90.02
74,104.199508,30.778247,1000,89.11
75,104.199508,30.823163,1000,87.81
76,104.199508,30.868079,1000,93.02
77,104.209916,30.338071,1000,95.66
78,104.209916,30.553667,1000,82.74
79,104.209916,30.571633,1000,84.22
80,104.209916,30.625532,1000,86.92
81,104.209916,30.751297,1000,90.37
82,104.209916,30.895029,1000,93.47
83,104.220324,30.338071,1000,95.11
84,104.220324,30.490785,1000,87.19
