line,lng,lat
160路,104.001988,30.582374
160路,104.001793,30.582326
160路,104.001007,30.582122
160路,104.000621,30.582023
160路,103.999939,30.581858
160路,103.998806,30.581576
160路,103.998802,30.581576
160路,103.998381,30.581471
160路,103.998155,30.581415
160路,103.997917,30.581345
160路,103.997687,30.581267
160路,103.997517,30.581194
160路,103.997313,30.581081
160路,103.997049,30.580868
160路,103.996858,30.580716
160路,103.99668,30.58059
160路,103.99658,30.580538
160路,103.996445,30.580464
160路,103.996267,30.580395
160路,103.995412,30.580243
160路,103.994581,30.580113
160路,103.994301,30.580056
160路,103.993598,30.579931
160路,103.993599,30.579931
160路,103.992065,30.579653
160路,103.991623,30.579567
160路,103.990944,30.579462
160路,103.989716,30.579231
160路,103.989655,30.579218
160路,103.989011,30.579108
160路,103.986662,30.578711
160路,103.985764,30.578555
160路,103.984219,30.57829
160路,103.984067,30.578919
160路,103.984071,30.578919
160路,103.983958,30.579384
160路,103.983802,30.580052
160路,103.98365,30.580694
160路,103.983511,30.581311
160路,103.983424,30.581597
160路,103.98332,30.581766
160路,103.983147,30.58194
160路,103.982721,30.582357
160路,103.982535,30.58253
160路,103.982413,30.582648
160路,103.982274,30.582782
160路,103.982231,30.58283
160路,103.981875,30.583199
160路,103.98174,30.583338
160路,103.981506,30.583585
160路,103.981289,30.583811
160路,103.981194,30.583906
160路,103.981102,30.583997
160路,103.980998,30.584106
160路,103.98092,30.584188
160路,103.980716,30.584401
160路,103.980434,30.584657
160路,103.980165,30.584952
160路,103.980082,30.585035
160路,103.979822,30.585295
160路,103.979731,30.585399
160路,103.97947,30.585716
160路,103.979323,30.58592
160路,103.97931,30.585938
160路,103.979106,30.586198
160路,103.978867,30.586519
160路,103.978715,30.586727
160路,103.978529,30.587001
160路,103.978229,30.587452
160路,103.978112,30.587643
160路,103.977921,30.587956
160路,103.97731,30.588829
160路,103.977209,30.588971
160路,103.977075,30.589158
160路,103.976662,30.589714
160路,103.976571,30.589661
160路,103.975938,30.589336
160路,103.975668,30.589158
160路,103.975434,30.589019
160路,103.975256,30.588919
160路,103.974944,30.58875
160路,103.974648,30.588581
160路,103.974605,30.588555
160路,103.974501,30.588494
160路,103.974262,30.588355
160路,103.974128,30.588286
160路,103.973893,30.588125
160路,103.973733,30.588355
160路,103.973615,30.588511
160路,103.973212,30.589041
160路,103.973108,30.58918
160路,103.972591,30.589874
160路,103.972031,30.590629
160路,103.971523,30.591306
160路,103.971302,30.591606
160路,103.970959,30.592066
160路,103.970595,30.592556
160路,103.970486,30.5927
160路,103.970284,30.592968
160路,103.969864,30.593533
160路,103.969727,30.593739
160路,103.969429,30.594126
160路,103.969131,30.594522
160路,103.968964,30.594753
160路,103.968842,30.5949
160路,103.968704,30.595104
160路,103.968273,30.595707
160路,103.968199,30.595881
160路,103.968181,30.595977
160路,103.968177,30.59622
160路,103.968203,30.596923
160路,103.968216,30.597383
160路,103.968251,30.598338
160路,103.968299,30.599857
160路,103.968416,30.600868
160路,103.968451,30.601111
160路,103.96852,30.60168
160路,103.968585,30.602166
160路,103.968641,30.602604
160路,103.968694,30.60309
160路,103.968737,30.603503
160路,103.968806,30.604128
160路,103.970642,30.604731
160路,103.970977,30.604809
160路,103.971293,30.604839
160路,103.971506,30.604839
160路,103.971853,30.6048
160路,103.972015,30.604765
160路,103.972115,30.604744
160路,103.972481,30.604609
160路,103.973991,30.603958
160路,103.974617,30.603693
160路,103.974625,30.603685
160路,103.974968,30.603542
160路,103.975288,30.603403
160路,103.976506,30.602869
160路,103.977652,30.602378
160路,103.97839,30.602062
160路,103.981033,30.60092
160路,103.982053,30.600477
160路,103.982574,30.600252
