line,lng,lat
150路,104.132192,30.711697
150路,104.132648,30.711576
150路,104.132721,30.711536
150路,104.132778,30.711493
150路,104.132826,30.711424
150路,104.132852,30.71135
150路,104.132852,30.711263
150路,104.132682,30.71082
150路,104.132591,30.710673
150路,104.132435,30.71049
150路,104.132374,30.710434
150路,104.132183,30.710243
150路,104.131962,30.710056
150路,104.131345,30.709605
150路,104.131185,30.709666
150路,104.129891,30.710026
150路,104.128416,30.710417
150路,104.12809,30.710503
150路,104.127765,30.710573
150路,104.127652,30.710582
150路,104.127535,30.71059
150路,104.127095,30.710637
150路,104.126762,30.710673
150路,104.126654,30.710685
150路,104.126645,30.710686
150路,104.126003,30.710764
150路,104.125273,30.710881
150路,104.122839,30.711185
150路,104.122795,30.711102
150路,104.122648,30.710495
150路,104.122643,30.710495
150路,104.122391,30.709449
150路,104.122378,30.70941
150路,104.122144,30.708424
150路,104.122031,30.708038
150路,104.122014,30.707969
150路,104.121897,30.707574
150路,104.121852,30.707452
150路,104.121758,30.707191
150路,104.121758,30.707186
150路,104.121613,30.706785
150路,104.121529,30.706575
150路,104.121437,30.706202
150路,104.121429,30.705959
150路,104.121437,30.705759
150路,104.121475,30.705591
150路,104.121529,30.705418
150路,104.121597,30.705265
150路,104.121895,30.704557
150路,104.120918,30.704294
150路,104.120468,30.704208
150路,104.120054,30.704136
150路,104.119845,30.704104
150路,104.11918,30.704018
150路,104.118751,30.703981
150路,104.11742,30.703976
150路,104.117018,30.70396
150路,104.117061,30.703037
150路,104.117056,30.702398
150路,104.117056,30.702136
150路,104.11705,30.701991
150路,104.117015,30.701592
150路,104.116959,30.700955
150路,104.116476,30.700945
150路,104.115848,30.70095
150路,104.115725,30.700982
150路,104.115722,30.700472
150路,104.11572,30.700102
150路,104.115725,30.699148
150路,104.114878,30.699164
150路,104.114346,30.699169
150路,104.11417,30.699175
150路,104.113467,30.69918
150路,104.112903,30.699206
150路,104.112435,30.699216
150路,104.111884,30.699228
150路,104.111063,30.69925
150路,104.110801,30.69926
150路,104.110189,30.699276
150路,104.108886,30.699292
150路,104.108424,30.699298
150路,104.10718,30.699319
150路,104.106713,30.699319
150路,104.106445,30.699325
150路,104.105919,30.699335
150路,104.105629,30.699335
150路,104.105646,30.7
150路,104.105656,30.700414
150路,104.105683,30.700633
150路,104.105715,30.701079
150路,104.105763,30.701588
150路,104.10578,30.701739
150路,104.105812,30.702109
150路,104.105828,30.702447
150路,104.105831,30.702516
150路,104.105831,30.702515
150路,104.105844,30.702806
150路,104.105855,30.703015
150路,104.105887,30.703439
150路,104.105924,30.703916
150路,104.105425,30.70397
150路,104.105118,30.704031
150路,104.105118,30.704032
150路,104.104433,30.704169
150路,104.104052,30.70433
150路,104.103934,30.704324
150路,104.102674,30.703722
150路,104.102673,30.703722
150路,104.102362,30.703573
150路,104.101849,30.704444
150路,104.101846,30.704443
150路,104.10183,30.704472
150路,104.101046,30.705803
150路,104.100799,30.706233
150路,104.100512,30.706784
150路,104.100469,30.706866
150路,104.100391,30.707092
150路,104.100043,30.70773
150路,104.100994,30.709249
150路,104.101094,30.709562
150路,104.101506,30.710204
150路,104.101753,30.710417
150路,104.10178,30.71046
150路,104.101897,30.710647
151路,104.040253,30.653238
151路,104.040326,30.653238
151路,104.040326,30.653112
151路,104.040326,30.652999
151路,104.040525,30.652999
151路,104.040959,30.652995
151路,104.041094,30.652995
151路,104.041085,30.653268
151路,104.041063,30.653863
151路,104.041055,30.654128
151路,104.041024,30.655195
151路,104.041003,30.655885
151路,104.040994,30.656155
151路,104.040904,30.658885
151路,104.040776,30.658929
151路,104.040438,30.659101
151路,104.039134,30.659806
151路,104.039023,30.659861
151路,104.038346,30.66026
151路,104.037726,30.660668
151路,104.037209,30.660985
151路,104.036814,30.661215
151路,104.036632,30.661319
151路,104.036089,30.661636
151路,104.035972,30.661675
151路,104.036146,30.661884
151路,104.03635,30.662131
151路,104.036155,30.662192
151路,104.035881,30.66227
151路,104.035608,30.662318
151路,104.03526,30.662378
151路,104.034893,30.66245
151路,104.034448,30.662536
151路,104.034373,30.662551
151路,104.034174,30.662585
151路,104.033967,30.662625
151路,104.033901,30.662636
151路,104.033638,30.662655
151路,104.033391,30.662661
151路,104.033095,30.662659
151路,104.032591,30.662643
151路,104.032109,30.662639
151路,104.031463,30.66263
151路,104.030864,30.662626
151路,104.029861,30.662569
151路,104.02895,30.662535
151路,104.027513,30.662465
151路,104.027232,30.662451
151路,104.026832,30.662431
151路,104.026697,30.662426
151路,104.025755,30.662378
151路,104.024792,30.662357
151路,104.023641,30.662326
151路,104.022856,30.662326
151路,104.022849,30.662326
151路,104.022773,30.662326
151路,104.022283,30.662335
151路,104.021764,30.662335
151路,104.021528,30.662236
151路,104.021566,30.661143
151路,104.021619,30.660146
151路,104.02167,30.659085
151路,104.021681,30.657553
151路,104.021686,30.657379
151路,104.021649,30.657271
151路,104.021657,30.657091
151路,104.021673,30.6565
151路,104.021681,30.656253
151路,104.021693,30.656033
151路,104.021721,30.655178
151路,104.021843,30.652596
151路,104.021858,30.651966
151路,104.021873,30.651762
151路,104.021873,30.65168
151路,104.021884,30.651033
151路,104.021889,30.650711
151路,104.021904,30.650595
151路,104.021904,30.650064
151路,104.021912,30.649586
151路,104.02185,30.64953
151路,104.02185,30.648659
151路,104.021879,30.64796
151路,104.02195,30.647852
151路,104.021973,30.647182
151路,104.02198,30.6471
151路,104.02198,30.646971
151路,104.022018,30.64628
151路,104.022041,30.645807
151路,104.022064,30.645706
151路,104.022118,30.64546
151路,104.022179,30.645243
151路,104.022247,30.645035
151路,104.021851,30.64496
151路,104.021156,30.64496
151路,104.021011,30.644955
151路,104.020477,30.644949
151路,104.020081,30.644945
151路,104.019707,30.644945
151路,104.01947,30.644939
151路,104.019302,30.644946
151路,104.018555,30.644936
151路,104.018394,30.644936
151路,104.018318,30.644936
151路,104.017548,30.64496
151路,104.016518,30.644991
151路,104.016068,30.645004
151路,104.015572,30.645027
151路,104.014748,30.64506
151路,104.013763,30.6451
151路,104.01368,30.645105
151路,104.012604,30.645096
151路,104.012215,30.645086
151路,104.0112,30.645086
151路,104.010704,30.645082
151路,104.010239,30.645079
151路,104.009949,30.645054
151路,104.009163,30.644899
151路,104.009087,30.644823
151路,104.009148,30.644127
151路,104.009224,30.643763
151路,104.009277,30.643606
151路,104.009377,30.643398
151路,104.009552,30.643047
151路,104.009796,30.642618
151路,104.010223,30.64185
151路,104.01078,30.640869
151路,104.010872,30.640707
151路,104.01091,30.640646
151路,104.011154,30.6402
151路,104.011276,30.639978
151路,104.011269,30.639709
151路,104.01136,30.639553
151路,104.011749,30.63888
151路,104.011848,30.638706
151路,104.012024,30.638393
151路,104.01226,30.637964
151路,104.012482,30.637573
151路,104.012512,30.637514
151路,104.012825,30.63695
151路,104.012962,30.636715
151路,104.013237,30.636221
