line,lng,lat,type,id
194路,104.030006,30.615915,depot,0
201路,103.995,30.620885,depot,1
168路,104.058212,30.68576,depot,2
297路,104.109345,30.664792,depot,3
214路,103.992743,30.733698,depot,4
237路,104.073898,30.636749,depot,5
178路,104.054284,30.732843,depot,6
165路,104.040903,30.654323,depot,7
162路,104.036862,30.548168,depot,8
153路,104.075615,30.591881,depot,9
222路,104.032817,30.619093,depot,10
249路,104.030608,30.620191,depot,11
200路,104.151011,30.655091,depot,12
160路,103.982448,30.598368,depot,13
193路,104.102322,30.71138,depot,14
243路,103.96161,30.664428,depot,15
246路,104.077799,30.718251,depot,16
209路,104.017339,30.67227,depot,17
198路,104.131506,30.750334,depot,18
181路,104.063615,30.599436,depot,19
150路,104.132192,30.711697,O,20
150路,104.101897,30.710647,D,21
151路,104.040253,30.653238,O,22
151路,103.976888,30.600972,D,23
153路,104.042038,30.640364,O,24
153路,104.075615,30.591881,D,25
154路,104.082821,30.694379,O,26
154路,104.080117,30.659258,D,27
155路,104.016671,30.700421,O,28
155路,104.034918,30.736658,D,29
158路,103.978134,30.705434,O,30
158路,104.008937,30.708064,D,31
159路,104.090981,30.67171,O,32
159路,104.128073,30.665898,D,33
160路,104.001988,30.582374,O,34
160路,103.982448,30.598368,D,35
162路,104.040668,30.626419,O,36
162路,104.036862,30.548168,D,37
163路,103.983446,30.678381,O,38
163路,104.056819,30.662253,D,39
164路,103.991714,30.689232,O,40
164路,104.032856,30.647239,D,41
165路,103.990952,30.648165,O,42
165路,104.040903,30.654323,D,43
166路,104.102371,30.711676,O,44
166路,104.100517,30.726931,D,45
168路,104.058212,30.68576,O,46
168路,104.082868,30.793468,D,47
170路,103.990516,30.66145,O,48
170路,104.034355,30.659439,D,49
172路,104.096332,30.624349,O,50
172路,104.121185,30.552565,D,51
173路,103.956997,30.725538,O,52
173路,103.920105,30.802135,D,53
176路,103.984032,30.622726,O,54
176路,103.952591,30.650707,D,55
177路,104.15339,30.683529,O,56
177路,104.153364,30.683542,D,57
178路,104.040543,30.692231,O,58
178路,104.054284,30.732843,D,59
179路,104.000556,30.597594,O,60
179路,104.020048,30.583715,D,61
180路,104.084705,30.661914,O,62
180路,104.135462,30.67406,D,63
181路,104.063615,30.599436,O,64
181路,104.106071,30.597569,D,65
184路,104.034193,30.550503,O,66
184路,104.08023,30.616567,D,67
182路,104.095143,30.644596,O,68
182路,104.130334,30.654878,D,69
186路,104.112953,30.557631,O,70
186路,104.096681,30.6241,D,71
185路,104.093971,30.561298,O,72
185路,104.029744,30.553168,D,73
187路,104.0351,30.586502,O,74
187路,104.063615,30.60428,D,75
193路,104.102322,30.71138,O,76
193路,104.125725,30.736832,D,77
188路,104.08352,30.560473,O,78
188路,104.06362,30.60418,D,79
194路,104.030006,30.615915,O,80
194路,104.033157,30.645855,D,81
195路,104.10376,30.539762,O,82
195路,104.036862,30.548082,D,83
195A路,104.081207,30.530392,O,84
195A路,104.081207,30.530418,D,85
196路,104.12944,30.607819,O,86
196路,104.156636,30.604757,D,87
198A路,104.102387,30.711502,O,88
198A路,104.143741,30.73197,D,89
198路,104.131506,30.750334,O,90
198路,104.102029,30.710653,D,91
199路,104.140946,30.682569,O,92
199路,104.138877,30.688036,D,93
200路,104.151011,30.655091,O,94
200路,104.09576,30.624783,D,95
201路,103.952591,30.650673,O,96
201路,103.995,30.620885,D,97
203路,104.036862,30.548168,O,98
203路,104.103272,30.547147,D,99
204A路,104.220901,30.681702,O,100
204A路,104.188583,30.701481,D,101
202路,103.926865,30.739761,O,102
202路,103.920773,30.802873,D,103
