line,lng,lat
4路,104.144298,30.628688
4路,104.143363,30.626593
4路,104.14295,30.626011
4路,104.143848,30.625453
4路,104.14385,30.625447
4路,104.143694,30.625104
4路,104.143529,30.624705
4路,104.143459,30.624327
4路,104.143051,30.623472
4路,104.142899,30.623155
4路,104.142574,30.623034
4路,104.142322,30.622973
4路,104.142105,30.622899
4路,104.140534,30.62352
4路,104.140239,30.623637
4路,104.140082,30.623455
4路,104.140221,30.62339
4路,104.140369,30.623325
4路,104.140668,30.623207
4路,104.140964,30.623082
4路,104.141745,30.622773
4路,104.142014,30.622769
4路,104.142101,30.622747
4路,104.142435,30.622626
4路,104.142756,30.622569
4路,104.142852,30.62276
4路,104.143016,30.623116
4路,104.143173,30.62342
4路,104.143537,30.62418
4路,104.14355,30.624206
4路,104.143924,30.625
4路,104.144358,30.626007
4路,104.144848,30.627209
4路,104.145052,30.628012
4路,104.145291,30.628906
4路,104.145326,30.62901
4路,104.145438,30.629366
4路,104.145551,30.62964
4路,104.145621,30.629774
4路,104.145677,30.629878
4路,104.145777,30.630069
4路,104.145855,30.63023
4路,104.146029,30.63049
4路,104.146024,30.630486
4路,104.146168,30.630703
4路,104.146263,30.630846
4路,104.146337,30.630959
4路,104.14701,30.631979
4路,104.147127,30.632214
4路,104.147053,30.632305
4路,104.146645,30.632465
4路,104.146402,30.632435
4路,104.14536,30.632795
4路,104.145009,30.632917
4路,104.142435,30.633824
4路,104.142083,30.633945
4路,104.140582,30.634479
4路,104.13957,30.63487
4路,104.139049,30.635074
4路,104.139284,30.635686
4路,104.139414,30.636076
4路,104.139549,30.636597
4路,104.13954,30.636923
4路,104.13908,30.636936
4路,104.138359,30.636962
4路,104.137613,30.636988
4路,104.135061,30.637075
4路,104.134184,30.637079
4路,104.134115,30.637075
4路,104.132665,30.636962
4路,104.132266,30.636923
4路,104.132001,30.636892
4路,104.131489,30.63684
4路,104.130898,30.63678
4路,104.130477,30.636736
4路,104.129596,30.636645
4路,104.128416,30.636515
4路,104.128212,30.636497
4路,104.12816,30.636489
4路,104.127669,30.636441
4路,104.127617,30.636432
4路,104.12753,30.636424
4路,104.127083,30.636389
4路,104.126593,30.636389
4路,104.126259,30.636411
4路,104.125755,30.636467
4路,104.125317,30.636545
4路,104.12497,30.636619
4路,104.12467,30.636706
4路,104.124366,30.636806
4路,104.123924,30.636988
4路,104.122422,30.637682
4路,104.122235,30.637765
4路,104.121081,30.638277
4路,104.120755,30.638416
4路,104.119974,30.638776
4路,104.119423,30.639044
4路,104.119054,30.639227
4路,104.117886,30.639779
4路,104.117782,30.639826
4路,104.115616,30.640868
4路,104.115352,30.640994
4路,104.115117,30.641115
4路,104.114527,30.641398
4路,104.11441,30.641458
4路,104.114076,30.641619
4路,104.113077,30.642083
4路,104.112192,30.642496
4路,104.111905,30.642556
4路,104.111541,30.64273
4路,104.111063,30.642947
4路,104.110577,30.643168
4路,104.107956,30.644423
4路,104.107075,30.644865
4路,104.106441,30.645152
4路,104.106224,30.64526
4路,104.106146,30.645291
4路,104.105703,30.64549
4路,104.105074,30.64579
4路,104.104336,30.646124
4路,104.104306,30.646137
4路,104.103472,30.646528
4路,104.10299,30.646745
4路,104.102543,30.646949
4路,104.100573,30.647891
4路,104.100482,30.64793
4路,104.0998,30.648247
4路,104.099028,30.648585
4路,104.098273,30.648941
4路,104.09771,30.649189
4路,104.097687,30.649197
4路,104.097331,30.649353
4路,104.096155,30.649891
4路,104.095959,30.649983
4路,104.095551,30.650169
4路,104.095286,30.650291
4路,104.095074,30.650386
4路,104.095074,30.650391
4路,104.094781,30.650525
4路,104.09457,30.650621
4路,104.094336,30.650742
4路,104.093238,30.651246
4路,104.092088,30.651788
4路,104.091949,30.651853
4路,104.091328,30.652144
4路,104.090416,30.652573
4路,104.08977,30.652882
4路,104.088876,30.653303
4路,104.08783,30.653806
4路,104.087743,30.653845
4路,104.087201,30.654102
4路,104.086832,30.654271
4路,104.086497,30.654427
4路,104.085877,30.654718
4路,104.085,30.655122
4路,104.08447,30.655373
4路,104.084401,30.655408
4路,104.083633,30.65576
4路,104.083303,30.655916
4路,104.08271,30.656179
4路,104.082296,30.65638
4路,104.082031,30.656506
4路,104.081523,30.656745
4路,104.081332,30.656836
4路,104.079805,30.657535
4路,104.078741,30.658008
4路,104.078589,30.658069
4路,104.077804,30.658472
4路,104.077613,30.658546
4路,104.077248,30.65865
4路,104.077066,30.658659
4路,104.075894,30.658646
4路,104.075538,30.658641
4路,104.075495,30.658637
4路,104.074484,30.658633
4路,104.073976,30.658624
4路,104.073624,30.658602
4路,104.072122,30.658563
4路,104.071493,30.658537
4路,104.070799,30.658516
4路,104.068963,30.658468
4路,104.068893,30.658468
4路,104.067148,30.65842
4路,104.06428,30.658372
4路,104.063602,30.658359
4路,104.0625,30.658346
4路,104.061962,30.658333
4路,104.060842,30.658307
4路,104.060842,30.658802
4路,104.060838,30.658902
4路,104.060825,30.659358
4路,104.060799,30.65997
4路,104.060777,30.660204
4路,104.06076,30.66059
4路,104.06072,30.660829
4路,104.060677,30.661727
4路,104.060668,30.662131
4路,104.06066,30.662513
4路,104.060642,30.662839
4路,104.060642,30.662869
4路,104.060629,30.66319
4路,104.060621,30.663555
4路,104.060616,30.663885
4路,104.060603,30.664171
4路,104.060577,30.66477
4路,104.060577,30.664861
4路,104.06053,30.665647
4路,104.060495,30.66658
4路,104.060434,30.668767
4路,104.060395,30.669336
4路,104.060391,30.669583
4路,104.060378,30.670148
4路,104.060369,30.670434
4路,104.060365,30.670686
4路,104.060352,30.670955
4路,104.060352,30.671523
4路,104.060252,30.671697
4路,104.059783,30.67191
4路,104.059332,30.672109
4路,104.059062,30.672231
4路,104.058915,30.672296
4路,104.057934,30.672739
4路,104.057821,30.672778
4路,104.057622,30.672964
4路,104.05681,30.673346
4路,104.056675,30.673411
4路,104.056471,30.673503
4路,104.05605,30.673572
4路,104.056007,30.673589
4路,104.055833,30.673676
4路,104.055603,30.673785
4路,104.055521,30.673824
4路,104.05513,30.674023
4路,104.055039,30.674067
4路,104.05447,30.674362
4路,104.053941,30.674609
4路,104.053832,30.67467
4路,104.053134,30.675052
4路,104.052908,30.675178
4路,104.052843,30.675221
4路,104.052773,30.675256
4路,104.05214,30.675655
4路,104.051419,30.676133
4路,104.051341,30.676194
4路,104.050807,30.676523
4路,104.050078,30.677018
4路,104.049683,30.677279
4路,104.04934,30.677504
4路,104.04924,30.677569
4路,104.048572,30.678025
4路,104.048368,30.678177
4路,104.048294,30.678234
4路,104.048234,30.678286
4路,104.04796,30.678503
4路,104.047635,30.678793
4路,104.047409,30.679002
4路,104.047205,30.679184
4路,104.046688,30.679666
4路,104.046363,30.680013
4路,104.046072,30.680339
4路,104.045768,30.680729
4路,104.045339,30.68122
4路,104.045161,30.681428
4路,104.044874,30.681797
4路,104.044727,30.681984
4路,104.044444,30.682339
4路,104.043772,30.68322
4路,104.04362,30.683416
4路,104.043051,30.684158
4路,104.042656,30.684674
4路,104.042548,30.684805
4路,104.042543,30.684813
4路,104.042166,30.685282
4路,104.041693,30.685842
4路,104.041283,30.686329
4路,104.041285,30.686328
4路,104.040977,30.686688
4路,104.040586,30.687144
4路,104.040525,30.687209
4路,104.040234,30.68753
4路,104.039757,30.688134
4路,104.039284,30.688737
4路,104.039249,30.688789
