line,bus_id,time,round_time,duration,status
37,21022107,2022-06-01 06:14:44,2022-06-01 06:15:00,375,o
37,21022107,2022-06-01 06:20:59,2022-06-01 06:21:00,3403,other
37,21022107,2022-06-01 07:17:42,2022-06-01 07:18:00,582,d
37,21022107,2022-06-01 07:27:24,2022-06-01 07:27:00,4164,other
37,21022107,2022-06-01 08:36:48,2022-06-01 08:37:00,1274,o
37,21022107,2022-06-01 08:58:02,2022-06-01 08:58:00,4364,other
37,21022107,2022-06-01 10:10:46,2022-06-01 10:11:00,651,d
37,21022107,2022-06-01 10:21:37,2022-06-01 10:22:00,4127,other
37,21022107,2022-06-01 11:30:24,2022-06-01 11:30:00,3681,o
37,21022107,2022-06-01 12:31:45,2022-06-01 12:32:00,3627,other
37,21022107,2022-06-01 13:32:12,2022-06-01 13:32:00,370,d
37,21022107,2022-06-01 13:38:22,2022-06-01 13:38:00,3380,other
37,21022107,2022-06-01 14:34:42,2022-06-01 14:35:00,7382,o
37,21022107,2022-06-01 16:37:44,2022-06-01 16:38:00,3876,other
37,21022107,2022-06-01 17:42:20,2022-06-01 17:42:00,545,d
37,21022107,2022-06-01 17:51:25,2022-06-01 17:51:00,4634,other
37,21022211,2022-06-01 06:48:59,2022-06-01 06:49:00,1015,o
37,21022211,2022-06-01 07:05:54,2022-06-01 07:06:00,3581,other
37,21022211,2022-06-01 08:05:35,2022-06-01 08:06:00,630,d
37,21022211,2022-06-01 08:16:05,2022-06-01 08:16:00,3888,other
37,21022211,2022-06-01 09:20:53,2022-06-01 09:21:00,2430,o
37,21022211,2022-06-01 10:01:23,2022-06-01 10:01:00,3572,other
37,21022211,2022-06-01 11:00:55,2022-06-01 11:01:00,352,d
37,21022211,2022-06-01 11:06:47,2022-06-01 11:07:00,3676,other
37,21022211,2022-06-01 12:08:03,2022-06-01 12:08:00,10432,o
37,21022211,2022-06-01 15:01:55,2022-06-01 15:02:00,3915,other
37,21022211,2022-06-01 16:07:10,2022-06-01 16:07:00,271,d
37,21022211,2022-06-01 16:11:41,2022-06-01 16:12:00,3896,other
37,21022317,2022-06-01 06:26:19,2022-06-01 06:26:00,1236,d
37,21022317,2022-06-01 06:46:55,2022-06-01 06:47:00,3732,other
37,21022317,2022-06-01 07:49:07,2022-06-01 07:49:00,1714,o
37,21022317,2022-06-01 08:17:41,2022-06-01 08:18:00,4233,other
37,21022317,2022-06-01 09:28:14,2022-06-01 09:28:00,544,d
37,21022317,2022-06-01 09:37:18,2022-06-01 09:37:00,3943,other
37,21022317,2022-06-01 10:43:01,2022-06-01 10:43:00,8341,o
37,21022317,2022-06-01 13:02:02,2022-06-01 13:02:00,3910,other
37,21022317,2022-06-01 14:07:12,2022-06-01 14:07:00,440,d
37,21022317,2022-06-01 14:14:32,2022-06-01 14:15:00,3617,other
37,21022317,2022-06-01 15:14:49,2022-06-01 15:15:00,7050,o
37,21022317,2022-06-01 17:12:19,2022-06-01 17:12:00,4633,other
37,21022317,2022-06-01 18:29:32,2022-06-01 18:30:00,230,d
37,21022361,2022-06-01 06:41:19,2022-06-01 06:41:00,2191,o
37,21022361,2022-06-01 07:17:50,2022-06-01 07:18:00,3968,other
37,21022361,2022-06-01 08:23:58,2022-06-01 08:24:00,421,d
37,21022361,2022-06-01 08:30:59,2022-06-01 08:31:00,4379,other
37,21022361,2022-06-01 09:43:58,2022-06-01 09:44:00,5874,o
37,21022361,2022-06-01 11:21:52,2022-06-01 11:22:00,3855,other
37,21022361,2022-06-01 12:26:07,2022-06-01 12:26:00,271,d
37,21022361,2022-06-01 12:30:38,2022-06-01 12:31:00,3762,other
37,21022361,2022-06-01 13:33:20,2022-06-01 13:33:00,4714,o
37,21022361,2022-06-01 14:51:54,2022-06-01 14:52:00,3783,other
37,21022361,2022-06-01 15:54:57,2022-06-01 15:55:00,502,d
37,21022361,2022-06-01 16:03:19,2022-06-01 16:03:00,3932,other
37,21022361,2022-06-01 17:08:51,2022-06-01 17:09:00,4377,o
37,21022361,2022-06-01 18:21:48,2022-06-01 18:22:00,4009,other
37,21022361,2022-06-01 19:28:37,2022-06-01 19:29:00,411,d
37,21022361,2022-06-01 19:35:28,2022-06-01 19:35:00,3864,other
37,21022399,2022-06-01 06:41:06,2022-06-01 06:41:00,2246,d
37,21022399,2022-06-01 07:18:32,2022-06-01 07:19:00,3984,other
37,21022399,2022-06-01 08:24:56,2022-06-01 08:25:00,2226,o
37,21022399,2022-06-01 09:02:02,2022-06-01 09:02:00,4284,other
37,21022399,2022-06-01 10:13:26,2022-06-01 10:13:00,462,d
37,21022486,2022-06-01 07:09:08,2022-06-01 07:09:00,2211,o
37,21022486,2022-06-01 07:45:59,2022-06-01 07:46:00,4303,other
