line,bus,bus_y,start_time,start,end_time,end,duration,status
37,21022107,1,2022-06-01 06:15:00,375,2022-06-01 06:21:00,381,375,o
37,21022107,1,2022-06-01 06:21:00,381,2022-06-01 07:18:00,438,3403,other
37,21022107,1,2022-06-01 07:18:00,438,2022-06-01 07:27:00,447,582,d
37,21022107,1,2022-06-01 07:27:00,447,2022-06-01 08:37:00,517,4164,other
37,21022107,1,2022-06-01 08:37:00,517,2022-06-01 08:58:00,538,1274,o
37,21022107,1,2022-06-01 08:58:00,538,2022-06-01 10:11:00,611,4364,other
37,21022107,1,2022-06-01 10:11:00,611,2022-06-01 10:22:00,622,651,d
37,21022107,1,2022-06-01 10:22:00,622,2022-06-01 11:30:00,690,4127,other
37,21022107,1,2022-06-01 11:30:00,690,2022-06-01 12:32:00,752,3681,o
37,21022107,1,2022-06-01 12:32:00,752,2022-06-01 13:32:00,812,3627,other
37,21022107,1,2022-06-01 13:32:00,812,2022-06-01 13:38:00,818,370,d
37,21022107,1,2022-06-01 13:38:00,818,2022-06-01 14:35:00,875,3380,other
37,21022107,1,2022-06-01 14:35:00,875,2022-06-01 16:38:00,998,7382,o
37,21022107,1,2022-06-01 16:38:00,998,2022-06-01 17:42:00,1062,3876,other
37,21022107,1,2022-06-01 17:42:00,1062,2022-06-01 17:51:00,1071,545,d
37,21022107,1,2022-06-01 17:51:00,1071,2022-06-01 19:08:14,1148,4634,other
37,21022211,2,2022-06-01 06:49:00,409,2022-06-01 07:06:00,426,1015,o
37,21022211,2,2022-06-01 07:06:00,426,2022-06-01 08:06:00,486,3581,other
37,21022211,2,2022-06-01 08:06:00,486,2022-06-01 08:16:00,496,630,d
37,21022211,2,2022-06-01 08:16:00,496,2022-06-01 09:21:00,561,3888,other
37,21022211,2,2022-06-01 09:21:00,561,2022-06-01 10:01:00,601,2430,o
37,21022211,2,2022-06-01 10:01:00,601,2022-06-01 11:01:00,661,3572,other
37,21022211,2,2022-06-01 11:01:00,661,2022-06-01 11:07:00,667,352,d
37,21022211,2,2022-06-01 11:07:00,667,2022-06-01 12:08:00,728,3676,other
37,21022211,2,2022-06-01 12:08:00,728,2022-06-01 15:02:00,902,10432,o
37,21022211,2,2022-06-01 15:02:00,902,2022-06-01 16:07:00,967,3915,other
